# timestamp,observer_id,node_id,direction,output
1521741462.988646,3,3,r,3  1199 INFO: rcv=11973 miss=6 boot=7 per=366 m_hop=3 snr=33dBm avg_snr=29dBm
1521741462.879059,3,3,r,3  1199 INFO: rcv=11972 miss=6 boot=7 per=366 m_hop=3 snr=36dBm avg_snr=29dBm
1521741462.778774,3,3,r,3  1199 INFO: rcv=11971 miss=6 boot=7 per=366 m_hop=3 snr=34dBm avg_snr=29dBm
1521741462.688667,3,3,r,3  1199 INFO: rcv=11970 miss=6 boot=7 per=366 m_hop=3 snr=29dBm avg_snr=29dBm
1521741462.589066,3,3,r,3  1199 INFO: rcv=11969 miss=6 boot=7 per=366 m_hop=3 snr=29dBm avg_snr=29dBm
1521741462.489422,3,3,r,3  1199 INFO: rcv=11968 miss=6 boot=7 per=366 m_hop=3 snr=38dBm avg_snr=29dBm
1521741462.388664,3,3,r,3  1199 INFO: rcv=11967 miss=6 boot=7 per=366 m_hop=3 snr=30dBm avg_snr=29dBm
1521741462.288664,3,3,r,3  1198 INFO: rcv=11966 miss=6 boot=7 per=366 m_hop=3 snr=28dBm avg_snr=29dBm
1521741462.188659,3,3,r,3  1198 INFO: rcv=11965 miss=6 boot=7 per=366 m_hop=3 snr=30dBm avg_snr=29dBm
1521741462.088571,3,3,r,3  1198 INFO: rcv=11964 miss=6 boot=7 per=366 m_hop=3 snr=32dBm avg_snr=29dBm
1521741461.988671,3,3,r,3  1198 INFO: rcv=11963 miss=6 boot=7 per=366 m_hop=3 snr=22dBm avg_snr=29dBm
1521741461.879051,3,3,r,3  1198 INFO: rcv=11962 miss=6 boot=7 per=366 m_hop=3 snr=30dBm avg_snr=29dBm
1521741461.778731,3,3,r,3  1198 INFO: rcv=11961 miss=6 boot=7 per=366 m_hop=3 snr=30dBm avg_snr=29dBm
1521741461.688663,3,3,r,3  1198 INFO: rcv=11960 miss=6 boot=7 per=366 m_hop=3 snr=26dBm avg_snr=29dBm
1521741461.5886369,3,3,r,3  1198 INFO: rcv=11959 miss=6 boot=7 per=366 m_hop=3 snr=30dBm avg_snr=29dBm
1521741461.4898689,3,3,r,3  1198 INFO: rcv=11958 miss=6 boot=7 per=366 m_hop=3 snr=31dBm avg_snr=29dBm
1521741461.388653,3,3,r,3  1198 INFO: rcv=11957 miss=6 boot=7 per=366 m_hop=3 snr=29dBm avg_snr=29dBm
1521741461.28863,3,3,r,3  1197 INFO: rcv=11956 miss=6 boot=7 per=366 m_hop=3 snr=28dBm avg_snr=29dBm
1521741461.189727,3,3,r,3  1197 INFO: rcv=11955 miss=6 boot=7 per=366 m_hop=3 snr=32dBm avg_snr=29dBm
1521741461.088607,3,3,r,3  1197 INFO: rcv=11954 miss=6 boot=7 per=366 m_hop=3 snr=28dBm avg_snr=29dBm
1521741460.988534,3,3,r,3  1197 INFO: rcv=11953 miss=6 boot=7 per=366 m_hop=3 snr=36dBm avg_snr=29dBm
1521741460.879251,3,3,r,3  1197 INFO: rcv=11952 miss=6 boot=7 per=366 m_hop=3 snr=28dBm avg_snr=29dBm
1521741460.778939,3,3,r,3  1197 INFO: rcv=11951 miss=6 boot=7 per=366 m_hop=3 snr=33dBm avg_snr=29dBm
1521741460.688584,3,3,r,3  1197 INFO: rcv=11950 miss=6 boot=7 per=366 m_hop=3 snr=33dBm avg_snr=29dBm
1521741460.588649,3,3,r,3  1197 INFO: rcv=11949 miss=6 boot=7 per=366 m_hop=3 snr=22dBm avg_snr=29dBm
1521741460.489332,3,3,r,3  1197 INFO: rcv=11948 miss=6 boot=7 per=367 m_hop=3 snr=30dBm avg_snr=29dBm
1521741460.388598,3,3,r,3  1197 INFO: rcv=11947 miss=6 boot=7 per=367 m_hop=3 snr=30dBm avg_snr=29dBm
1521741460.288618,3,3,r,3  1196 INFO: rcv=11946 miss=6 boot=7 per=367 m_hop=3 snr=34dBm avg_snr=29dBm
1521741460.18857,3,3,r,3  1196 INFO: rcv=11945 miss=6 boot=7 per=367 m_hop=3 snr=29dBm avg_snr=29dBm
1521741460.088665,3,3,r,3  1196 INFO: rcv=11944 miss=6 boot=7 per=367 m_hop=3 snr=23dBm avg_snr=29dBm
1521741459.988631,3,3,r,3  1196 INFO: rcv=11943 miss=6 boot=7 per=367 m_hop=3 snr=30dBm avg_snr=29dBm
1521741459.87923,3,3,r,3  1196 INFO: rcv=11942 miss=6 boot=7 per=366 m_hop=3 snr=28dBm avg_snr=29dBm
1521741459.778683,3,3,r,3  1196 INFO: rcv=11941 miss=6 boot=7 per=366 m_hop=3 snr=25dBm avg_snr=29dBm
1521741459.688854,3,3,r,3  1196 INFO: rcv=11940 miss=6 boot=7 per=366 m_hop=3 snr=24dBm avg_snr=29dBm
1521741459.588659,3,3,r,3  1196 INFO: rcv=11939 miss=6 boot=7 per=367 m_hop=3 snr=27dBm avg_snr=29dBm
1521741459.489448,3,3,r,3  1196 INFO: rcv=11938 miss=6 boot=7 per=367 m_hop=3 snr=36dBm avg_snr=29dBm
1521741459.388618,3,3,r,3  1196 INFO: rcv=11937 miss=6 boot=7 per=367 m_hop=3 snr=24dBm avg_snr=29dBm
1521741459.288616,3,3,r,3  1195 INFO: rcv=11936 miss=6 boot=7 per=367 m_hop=3 snr=30dBm avg_snr=29dBm
