# timestamp,observer_id,node_id,direction,output
1521741462.989801,2,2,r,2  1199 INFO: rcv=11971 miss=7 boot=8 per=117 m_hop=0 snr=42dBm avg_snr=45dBm
1521741462.890198,2,2,r,2  1199 INFO: rcv=11970 miss=7 boot=8 per=117 m_hop=0 snr=42dBm avg_snr=45dBm
1521741462.789819,2,2,r,2  1199 INFO: rcv=11969 miss=7 boot=8 per=117 m_hop=0 snr=49dBm avg_snr=45dBm
1521741462.68958,2,2,r,2  1199 INFO: rcv=11968 miss=7 boot=8 per=117 m_hop=0 snr=50dBm avg_snr=45dBm
1521741462.590641,2,2,r,2  1199 INFO: rcv=11967 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741462.489857,2,2,r,2  1199 INFO: rcv=11966 miss=7 boot=8 per=117 m_hop=0 snr=44dBm avg_snr=45dBm
1521741462.389672,2,2,r,2  1199 INFO: rcv=11965 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741462.289789,2,2,r,2  1198 INFO: rcv=11964 miss=7 boot=8 per=117 m_hop=0 snr=43dBm avg_snr=45dBm
1521741462.189573,2,2,r,2  1198 INFO: rcv=11963 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741462.0897882,2,2,r,2  1198 INFO: rcv=11962 miss=7 boot=8 per=117 m_hop=0 snr=49dBm avg_snr=45dBm
1521741461.989774,2,2,r,2  1198 INFO: rcv=11961 miss=7 boot=8 per=117 m_hop=0 snr=44dBm avg_snr=45dBm
1521741461.8901632,2,2,r,2  1198 INFO: rcv=11960 miss=7 boot=8 per=117 m_hop=0 snr=40dBm avg_snr=45dBm
1521741461.789766,2,2,r,2  1198 INFO: rcv=11959 miss=7 boot=8 per=117 m_hop=0 snr=38dBm avg_snr=45dBm
1521741461.689574,2,2,r,2  1198 INFO: rcv=11958 miss=7 boot=8 per=117 m_hop=0 snr=41dBm avg_snr=45dBm
1521741461.589771,2,2,r,2  1198 INFO: rcv=11957 miss=7 boot=8 per=117 m_hop=0 snr=41dBm avg_snr=45dBm
1521741461.490609,2,2,r,2  1198 INFO: rcv=11956 miss=7 boot=8 per=117 m_hop=0 snr=49dBm avg_snr=45dBm
1521741461.389476,2,2,r,2  1198 INFO: rcv=11955 miss=7 boot=8 per=117 m_hop=0 snr=44dBm avg_snr=45dBm
1521741461.289757,2,2,r,2  1197 INFO: rcv=11954 miss=7 boot=8 per=117 m_hop=0 snr=44dBm avg_snr=45dBm
1521741461.1895769,2,2,r,2  1197 INFO: rcv=11953 miss=7 boot=8 per=117 m_hop=0 snr=50dBm avg_snr=45dBm
1521741461.0897589,2,2,r,2  1197 INFO: rcv=11952 miss=7 boot=8 per=117 m_hop=0 snr=44dBm avg_snr=45dBm
1521741460.989723,2,2,r,2  1197 INFO: rcv=11951 miss=7 boot=8 per=117 m_hop=0 snr=51dBm avg_snr=45dBm
1521741460.8904538,2,2,r,2  1197 INFO: rcv=11950 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741460.7897642,2,2,r,2  1197 INFO: rcv=11949 miss=7 boot=8 per=117 m_hop=0 snr=45dBm avg_snr=45dBm
1521741460.689541,2,2,r,2  1197 INFO: rcv=11948 miss=7 boot=8 per=117 m_hop=0 snr=51dBm avg_snr=45dBm
1521741460.589715,2,2,r,2  1197 INFO: rcv=11947 miss=7 boot=8 per=117 m_hop=0 snr=45dBm avg_snr=45dBm
1521741460.4901788,2,2,r,2  1197 INFO: rcv=11946 miss=7 boot=8 per=117 m_hop=0 snr=45dBm avg_snr=45dBm
1521741460.389437,2,2,r,2  1197 INFO: rcv=11945 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741460.289726,2,2,r,2  1196 INFO: rcv=11944 miss=7 boot=8 per=117 m_hop=0 snr=46dBm avg_snr=45dBm
1521741460.189713,2,2,r,2  1196 INFO: rcv=11943 miss=7 boot=8 per=117 m_hop=0 snr=48dBm avg_snr=45dBm
1521741460.090107,2,2,r,2  1196 INFO: rcv=11942 miss=7 boot=8 per=117 m_hop=0 snr=42dBm avg_snr=45dBm
1521741459.9897509,2,2,r,2  1196 INFO: rcv=11941 miss=7 boot=8 per=117 m_hop=0 snr=36dBm avg_snr=45dBm
1521741459.890152,2,2,r,2  1196 INFO: rcv=11940 miss=7 boot=8 per=117 m_hop=0 snr=46dBm avg_snr=45dBm
1521741459.789763,2,2,r,2  1196 INFO: rcv=11939 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741459.690141,2,2,r,2  1196 INFO: rcv=11938 miss=7 boot=8 per=117 m_hop=0 snr=43dBm avg_snr=45dBm
1521741459.622104,2,2,r,2  1196 INFO: rcv=11937 miss=7 boot=8 per=117 m_hop=0 snr=45dBm avg_snr=45dBm
1521741459.506803,2,2,r,2  1196 INFO: rcv=11936 miss=7 boot=8 per=117 m_hop=0 snr=46dBm avg_snr=45dBm
1521741459.389509,2,2,r,2  1196 INFO: rcv=11935 miss=7 boot=8 per=117 m_hop=0 snr=48dBm avg_snr=45dBm
1521741459.289695,2,2,r,2  1195 INFO: rcv=11934 miss=7 boot=8 per=117 m_hop=0 snr=50dBm avg_snr=45dBm
1521741459.189763,2,2,r,2  1195 INFO: rcv=11933 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741459.0896618,2,2,r,2  1195 INFO: rcv=11932 miss=7 boot=8 per=117 m_hop=0 snr=46dBm avg_snr=45dBm
1521741458.99019,2,2,r,2  1195 INFO: rcv=11931 miss=7 boot=8 per=117 m_hop=0 snr=45dBm avg_snr=45dBm
1521741458.890433,2,2,r,2  1195 INFO: rcv=11930 miss=7 boot=8 per=117 m_hop=0 snr=46dBm avg_snr=45dBm
1521741458.789681,2,2,r,2  1195 INFO: rcv=11929 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741458.6901839,2,2,r,2  1195 INFO: rcv=11928 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741458.597677,2,2,r,2  1195 INFO: rcv=11927 miss=7 boot=8 per=117 m_hop=0 snr=51dBm avg_snr=45dBm
1521741458.490145,2,2,r,2  1195 INFO: rcv=11926 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741458.389497,2,2,r,2  1195 INFO: rcv=11925 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741458.290141,2,2,r,2  1194 INFO: rcv=11924 miss=7 boot=8 per=117 m_hop=0 snr=43dBm avg_snr=45dBm
1521741458.189765,2,2,r,2  1194 INFO: rcv=11923 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
1521741458.089477,2,2,r,2  1194 INFO: rcv=11922 miss=7 boot=8 per=117 m_hop=0 snr=42dBm avg_snr=45dBm
1521741457.989648,2,2,r,2  1194 INFO: rcv=11921 miss=7 boot=8 per=117 m_hop=0 snr=45dBm avg_snr=45dBm
1521741457.890157,2,2,r,2  1194 INFO: rcv=11920 miss=7 boot=8 per=117 m_hop=0 snr=46dBm avg_snr=45dBm
1521741457.789658,2,2,r,2  1194 INFO: rcv=11919 miss=7 boot=8 per=117 m_hop=0 snr=47dBm avg_snr=45dBm
