# timestamp,observer_id,node_id,direction,output
1521741462.983249,28,28,r,28  1199 INFO: rcv=11981 miss=2 boot=3 per=1827 m_hop=4 snr=42dBm avg_snr=45dBm
1521741462.874232,28,28,r,28  1199 INFO: rcv=11980 miss=2 boot=3 per=1827 m_hop=4 snr=38dBm avg_snr=45dBm
1521741462.783134,28,28,r,28  1199 INFO: rcv=11979 miss=2 boot=3 per=1827 m_hop=4 snr=37dBm avg_snr=45dBm
1521741462.687129,28,28,r,28  1199 INFO: rcv=11978 miss=2 boot=3 per=1827 m_hop=4 snr=40dBm avg_snr=45dBm
1521741462.583193,28,28,r,28  1199 INFO: rcv=11977 miss=2 boot=3 per=1827 m_hop=4 snr=38dBm avg_snr=45dBm
1521741462.483055,28,28,r,28  1199 INFO: rcv=11976 miss=2 boot=3 per=1827 m_hop=4 snr=37dBm avg_snr=45dBm
1521741462.382291,28,28,r,28  1199 INFO: rcv=11975 miss=2 boot=3 per=1828 m_hop=4 snr=46dBm avg_snr=45dBm
1521741462.28301,28,28,r,28  1198 INFO: rcv=11974 miss=2 boot=3 per=1827 m_hop=4 snr=44dBm avg_snr=45dBm
1521741462.182236,28,28,r,28  1198 INFO: rcv=11973 miss=2 boot=3 per=1828 m_hop=4 snr=51dBm avg_snr=45dBm
1521741462.082971,28,28,r,28  1198 INFO: rcv=11972 miss=2 boot=3 per=1828 m_hop=4 snr=41dBm avg_snr=45dBm
1521741461.982242,28,28,r,28  1198 INFO: rcv=11971 miss=2 boot=3 per=1828 m_hop=4 snr=37dBm avg_snr=45dBm
1521741461.8834019,28,28,r,28  1198 INFO: rcv=11970 miss=2 boot=3 per=1828 m_hop=4 snr=39dBm avg_snr=45dBm
1521741461.78421,28,28,r,28  1198 INFO: rcv=11969 miss=2 boot=3 per=1828 m_hop=4 snr=35dBm avg_snr=45dBm
1521741461.683022,28,28,r,28  1198 INFO: rcv=11968 miss=2 boot=3 per=1828 m_hop=4 snr=47dBm avg_snr=45dBm
1521741461.5831509,28,28,r,28  1198 INFO: rcv=11967 miss=2 boot=3 per=1828 m_hop=4 snr=35dBm avg_snr=45dBm
1521741461.483202,28,28,r,28  1198 INFO: rcv=11966 miss=2 boot=3 per=1828 m_hop=4 snr=37dBm avg_snr=45dBm
1521741461.382949,28,28,r,28  1198 INFO: rcv=11965 miss=2 boot=3 per=1828 m_hop=4 snr=36dBm avg_snr=45dBm
1521741461.28301,28,28,r,28  1197 INFO: rcv=11964 miss=2 boot=3 per=1828 m_hop=4 snr=49dBm avg_snr=45dBm
