# timestamp,observer_id,node_id,direction,output
1521741462.990452,4,4,r,4  1199 INFO: rcv=11977 miss=4 boot=5 per=111 m_hop=0 snr=43dBm avg_snr=42dBm
1521741462.889894,4,4,r,4  1199 INFO: rcv=11976 miss=4 boot=5 per=111 m_hop=0 snr=40dBm avg_snr=42dBm
1521741462.7898278,4,4,r,4  1199 INFO: rcv=11975 miss=4 boot=5 per=111 m_hop=0 snr=44dBm avg_snr=42dBm
1521741462.6898382,4,4,r,4  1199 INFO: rcv=11974 miss=4 boot=5 per=111 m_hop=0 snr=47dBm avg_snr=42dBm
1521741462.590106,4,4,r,4  1199 INFO: rcv=11973 miss=4 boot=5 per=111 m_hop=0 snr=38dBm avg_snr=42dBm
1521741462.490161,4,4,r,4  1199 INFO: rcv=11972 miss=4 boot=5 per=111 m_hop=0 snr=46dBm avg_snr=42dBm
1521741462.389751,4,4,r,4  1199 INFO: rcv=11971 miss=4 boot=5 per=111 m_hop=0 snr=40dBm avg_snr=42dBm
1521741462.29017,4,4,r,4  1198 INFO: rcv=11970 miss=4 boot=5 per=111 m_hop=0 snr=41dBm avg_snr=42dBm
1521741462.189891,4,4,r,4  1198 INFO: rcv=11969 miss=4 boot=5 per=111 m_hop=0 snr=46dBm avg_snr=42dBm
1521741462.0898788,4,4,r,4  1198 INFO: rcv=11968 miss=4 boot=5 per=111 m_hop=0 snr=41dBm avg_snr=42dBm
1521741461.9903,4,4,r,4  1198 INFO: rcv=11967 miss=4 boot=5 per=111 m_hop=0 snr=39dBm avg_snr=42dBm
1521741461.915558,4,4,r,4  1198 INFO: rcv=11966 miss=4 boot=5 per=111 m_hop=0 snr=29dBm avg_snr=42dBm
1521741461.790081,4,4,r,4  1198 INFO: rcv=11965 miss=4 boot=5 per=111 m_hop=0 snr=44dBm avg_snr=42dBm
1521741461.690079,4,4,r,4  1198 INFO: rcv=11964 miss=4 boot=5 per=111 m_hop=0 snr=38dBm avg_snr=42dBm
1521741461.590076,4,4,r,4  1198 INFO: rcv=11963 miss=4 boot=5 per=111 m_hop=0 snr=42dBm avg_snr=42dBm
1521741461.490361,4,4,r,4  1198 INFO: rcv=11962 miss=4 boot=5 per=111 m_hop=0 snr=47dBm avg_snr=42dBm
1521741461.390074,4,4,r,4  1198 INFO: rcv=11961 miss=4 boot=5 per=111 m_hop=0 snr=40dBm avg_snr=42dBm
1521741461.289865,4,4,r,4  1197 INFO: rcv=11960 miss=4 boot=5 per=111 m_hop=0 snr=38dBm avg_snr=42dBm
1521741461.189867,4,4,r,4  1197 INFO: rcv=11959 miss=4 boot=5 per=111 m_hop=0 snr=40dBm avg_snr=42dBm
1521741461.090066,4,4,r,4  1197 INFO: rcv=11958 miss=4 boot=5 per=111 m_hop=0 snr=41dBm avg_snr=42dBm
1521741460.990417,4,4,r,4  1197 INFO: rcv=11957 miss=4 boot=5 per=111 m_hop=0 snr=40dBm avg_snr=42dBm
1521741460.890155,4,4,r,4  1197 INFO: rcv=11956 miss=4 boot=5 per=111 m_hop=0 snr=40dBm avg_snr=42dBm
1521741460.790141,4,4,r,4  1197 INFO: rcv=11955 miss=4 boot=5 per=111 m_hop=0 snr=49dBm avg_snr=42dBm
1521741460.690073,4,4,r,4  1197 INFO: rcv=11954 miss=4 boot=5 per=111 m_hop=0 snr=43dBm avg_snr=42dBm
1521741460.590063,4,4,r,4  1197 INFO: rcv=11953 miss=4 boot=5 per=111 m_hop=0 snr=38dBm avg_snr=42dBm
1521741460.4901109,4,4,r,4  1197 INFO: rcv=11952 miss=4 boot=5 per=111 m_hop=0 snr=40dBm avg_snr=42dBm
1521741460.3900928,4,4,r,4  1197 INFO: rcv=11951 miss=4 boot=5 per=111 m_hop=0 snr=39dBm avg_snr=42dBm
1521741460.289844,4,4,r,4  1196 INFO: rcv=11950 miss=4 boot=5 per=111 m_hop=0 snr=39dBm avg_snr=42dBm
1521741460.190047,4,4,r,4  1196 INFO: rcv=11949 miss=4 boot=5 per=111 m_hop=0 snr=42dBm avg_snr=42dBm
1521741460.090049,4,4,r,4  1196 INFO: rcv=11948 miss=4 boot=5 per=111 m_hop=0 snr=37dBm avg_snr=42dBm
1521741459.990185,4,4,r,4  1196 INFO: rcv=11947 miss=4 boot=5 per=111 m_hop=0 snr=31dBm avg_snr=42dBm
1521741459.8901289,4,4,r,4  1196 INFO: rcv=11946 miss=4 boot=5 per=111 m_hop=0 snr=42dBm avg_snr=42dBm
1521741459.789838,4,4,r,4  1196 INFO: rcv=11945 miss=4 boot=5 per=111 m_hop=0 snr=43dBm avg_snr=42dBm
1521741459.690051,4,4,r,4  1196 INFO: rcv=11944 miss=4 boot=5 per=111 m_hop=0 snr=42dBm avg_snr=42dBm
1521741459.590043,4,4,r,4  1196 INFO: rcv=11943 miss=4 boot=5 per=111 m_hop=0 snr=38dBm avg_snr=42dBm
1521741459.49008,4,4,r,4  1196 INFO: rcv=11942 miss=4 boot=5 per=111 m_hop=0 snr=42dBm avg_snr=42dBm
1521741459.390069,4,4,r,4  1196 INFO: rcv=11941 miss=4 boot=5 per=111 m_hop=0 snr=41dBm avg_snr=42dBm
1521741459.290082,4,4,r,4  1195 INFO: rcv=11940 miss=4 boot=5 per=111 m_hop=0 snr=43dBm avg_snr=42dBm
1521741459.190222,4,4,r,4  1195 INFO: rcv=11939 miss=4 boot=5 per=111 m_hop=0 snr=37dBm avg_snr=42dBm
1521741459.090086,4,4,r,4  1195 INFO: rcv=11938 miss=4 boot=5 per=111 m_hop=0 snr=39dBm avg_snr=42dBm
1521741458.991585,4,4,r,4  1195 INFO: rcv=11937 miss=4 boot=5 per=111 m_hop=0 snr=41dBm avg_snr=42dBm
1521741458.89007,4,4,r,4  1195 INFO: rcv=11936 miss=4 boot=5 per=111 m_hop=0 snr=42dBm avg_snr=42dBm
1521741458.789814,4,4,r,4  1195 INFO: rcv=11935 miss=4 boot=5 per=111 m_hop=0 snr=42dBm avg_snr=42dBm
1521741458.6900618,4,4,r,4  1195 INFO: rcv=11934 miss=4 boot=5 per=111 m_hop=0 snr=43dBm avg_snr=42dBm
1521741458.590096,4,4,r,4  1195 INFO: rcv=11933 miss=4 boot=5 per=111 m_hop=0 snr=42dBm avg_snr=42dBm
1521741458.490102,4,4,r,4  1195 INFO: rcv=11932 miss=4 boot=5 per=111 m_hop=0 snr=43dBm avg_snr=42dBm
1521741458.390054,4,4,r,4  1195 INFO: rcv=11931 miss=4 boot=5 per=110 m_hop=0 snr=41dBm avg_snr=42dBm
